episode,return,loss_pi,loss_v
1,-21.0,-0.0014458245132118464,0.4995560050010681
2,-20.0,0.0010970389703288674,0.49941718578338623
3,-19.0,0.0007394362473860383,0.4996197521686554
4,-20.0,0.0012194144073873758,0.4996716380119324
5,-21.0,-0.00031075827428139746,0.4994698464870453
6,-20.0,-0.0016327186021953821,0.49954545497894287
7,-21.0,-0.0011604891624301672,0.4994350075721741
8,-20.0,-0.0005385944386944175,0.49952003359794617
9,-21.0,0.004280938766896725,0.4995788037776947
10,-21.0,0.001242543221451342,0.49939247965812683
11,-21.0,0.0002559852146077901,0.4994698464870453
12,-21.0,0.00036945613101124763,0.49953052401542664
13,-19.0,-0.0018477492267265916,0.49958088994026184
14,-21.0,0.00043443747563287616,0.49939242005348206
15,-19.0,0.0025301314890384674,0.4995606243610382
16,-19.0,-0.0008753236033953726,0.4996373653411865
17,-21.0,-0.001838868367485702,0.49943506717681885
18,-21.0,0.0004924899549223483,0.49939244985580444
19,-18.0,-0.0006329871248453856,0.49964582920074463
20,-21.0,-0.001199296093545854,0.4994356036186218
21,-20.0,0.0009168044198304415,0.4994564652442932
22,-21.0,-0.002311622491106391,0.49959999322891235
23,-21.0,-0.0029505605343729258,0.4994344115257263
24,-20.0,0.0014823840465396643,0.4995192289352417
25,-21.0,0.0034483415074646473,0.49939242005348206
26,-20.0,0.0021366202272474766,0.4995458722114563
27,-20.0,0.0010205081198364496,0.49959051609039307
28,-20.0,-0.002932195318862796,0.4994553327560425
29,-21.0,0.0015920031582936645,0.499433696269989
30,-21.0,0.001088602701202035,0.49947211146354675
31,-21.0,0.002816411666572094,0.4994698166847229
32,-21.0,0.002557649975642562,0.4994344115257263
33,-21.0,0.00010902703070314601,0.4994719922542572
34,-21.0,-0.0004438212781678885,0.49939247965812683
35,-21.0,-0.0010526584228500724,0.49953001737594604
36,-20.0,0.0004204687720630318,0.4994564354419708
37,-21.0,-0.00026431764126755297,0.4995797872543335
38,-20.0,-0.0005231465911492705,0.4995462894439697
39,-18.0,0.0009336704388260841,0.49959316849708557
40,-21.0,-0.0008300141780637205,0.49939247965812683
41,-21.0,-0.0005505087319761515,0.499433696269989
42,-20.0,-0.00034824619069695473,0.4995458722114563
43,-20.0,0.0011204268084838986,0.49959084391593933
44,-20.0,0.0009260082733817399,0.4995459318161011
45,-18.0,0.001703691203147173,0.49955031275749207
46,-20.0,0.0001792595867300406,0.4995458722114563
47,-21.0,-9.158282773569226e-05,0.49939319491386414
48,-21.0,-0.0002525204326957464,0.4995788037776947
49,-21.0,-0.00047308331704698503,0.4995015561580658
50,-21.0,-7.43827986298129e-05,0.4995020031929016
51,-21.0,-0.00017925602151080966,0.4993925094604492
52,-21.0,-0.000299285922665149,0.49950292706489563
53,-20.0,8.918232197174802e-05,0.4996096193790436
54,-21.0,-5.1867773436242715e-05,0.49947094917297363
55,-20.0,-0.0002797349588945508,0.4995471239089966
56,-21.0,-1.9564055037335493e-05,0.4995034635066986
57,-19.0,0.0003786343731917441,0.4995357394218445
58,-21.0,0.00019762635929509997,0.4994344115257263
59,-21.0,-0.0003664980176836252,0.499529629945755
60,-21.0,-0.0003219439531676471,0.4995300769805908
61,-19.0,0.00014271936379373074,0.49953484535217285
62,-20.0,0.0003365386219229549,0.4995911419391632
63,-21.0,-0.0006259632064029574,0.4994714856147766
64,-21.0,0.00038635177770629525,0.49955517053604126
65,-20.0,-0.0005371717270463705,0.4995192289352417
66,-21.0,-0.00018956010171677917,0.499502569437027
67,-20.0,6.776452937629074e-05,0.4995462894439697
68,-21.0,-0.00023546988086309284,0.49953097105026245
69,-21.0,-0.00044899547356180847,0.49947258830070496
70,-20.0,0.0004576867795549333,0.4995201528072357
71,-21.0,-0.0009097623405978084,0.49953097105026245
72,-19.0,0.00016049158875830472,0.4995819330215454
73,-20.0,0.0008260798058472574,0.49951961636543274
74,-20.0,-0.0004989231820218265,0.4994909167289734
75,-20.0,-7.339976582443342e-05,0.4994887113571167
76,-19.0,0.0006985918735153973,0.4995064437389374
77,-21.0,0.000671071233227849,0.4994697570800781
78,-21.0,-0.0005221311585046351,0.4995554983615875
79,-18.0,0.0001296934933634475,0.4995928108692169
80,-20.0,0.00012137650628574193,0.4994887411594391
81,-21.0,-9.348383900942281e-05,0.4994336664676666
82,-21.0,-0.00019270781194791198,0.4995305836200714
83,-21.0,-0.00023624183086212724,0.49943503737449646
84,-21.0,-0.0012261688243597746,0.4994708299636841
85,-20.0,-0.00023190681531559676,0.49945583939552307
86,-21.0,-0.0006443829042837024,0.4994344711303711
87,-19.0,-0.000503254123032093,0.4995344579219818
88,-21.0,-0.0025016344152390957,0.4994714558124542
89,-20.0,-0.0008514602668583393,0.49962830543518066
90,-21.0,-0.0018155392026528716,0.499579519033432
91,-20.0,0.0010410909308120608,0.49945715069770813
92,-21.0,0.0009478615247644484,0.4995039999485016
93,-21.0,-0.000817395222838968,0.4995034337043762
94,-19.0,0.0007966519333422184,0.4995812475681305
95,-21.0,-0.001422197907231748,0.4994710087776184
96,-21.0,0.0019659162499010563,0.49943503737449646
97,-21.0,-0.001805063453502953,0.49957987666130066
98,-21.0,-0.002039200160652399,0.4995579719543457
99,-20.0,0.002327977679669857,0.4995192289352417
100,-21.0,-0.0012219423661008477,0.499470978975296
101,-21.0,-0.004106810782104731,0.49943429231643677
102,-21.0,-0.0021566045470535755,0.49957799911499023
103,-20.0,-0.0026649408973753452,0.4994553327560425
104,-21.0,0.0017173165688291192,0.4993939697742462
105,-20.0,0.0033705609384924173,0.4995449185371399
106,-21.0,-0.0021437217947095633,0.4994344115257263
107,-21.0,-0.0008979649282991886,0.49939247965812683
108,-21.0,-0.00052130117546767,0.49959903955459595
109,-21.0,-0.0019317228579893708,0.4994337260723114
110,-21.0,-0.009645605459809303,0.4994337558746338
111,-21.0,0.015391080640256405,0.4994336664676666
112,-21.0,0.010384216904640198,0.499433696269989
113,-20.0,0.009405144490301609,0.49945762753486633
114,-21.0,0.014733823947608471,0.4994720220565796
115,-21.0,0.0022869969252496958,0.499470978975296
116,-21.0,-0.003590283216908574,0.4994708299636841
117,-19.0,-0.0020630680955946445,0.49956023693084717
